sentence_id,doc_id,sentence_text,judge_label_gpt5_4_mini,judge_label_sonnet4_6,judge_reason_gpt5_4_mini,judge_reason_sonnet4_6,audit_override_label,audit_note
40281,JPM_Q3-2025,"And obviously, it's not going to happen instantaneously.",substantive,boilerplate,Comments on timing of a business outcome.,Vague filler sentence with no specific business content or referent; does not convey a material claim.,substantive,
7345,BLK_Q1-2026,I'll be focusing primarily on our as-adjusted results.,boilerplate,substantive,Introductory framing of results.,"Signals focus on as-adjusted results, previewing the financial reporting basis for the discussion ?? substantive transition tied to financial metrics.",substantive,
41673,JPM_Q4-2025,Analysts - Senior Analyst I just want to ask about loan growth.,boilerplate,substantive,Analyst introduction and question setup.,Analyst question about loan growth ?? a specific financial/business topic in Q&A.,substantive,
44116,NKE_Q3-2025,"What I will say, I spent some time over there in December.",boilerplate,substantive,Personal aside without business content.,"Management references a specific trip in December to a location, indicating firsthand operational or market intelligence gathering relevant to business discussion.",substantive,
20026,FAST_Q4-2024,"And we're going to touch on a whole bunch of that, Dave, at our Investor Day as well.",substantive,boilerplate,References upcoming Investor Day business discussion.,Generic transition referencing Investor Day without specifying a business topic; process-driving hand-off language.,substantive,
44501,NKE_Q3-2026,"Brian, I think the easy answer for me to say it's a little bit of both, right?",substantive,boilerplate,Answers a business question about strategy.,Conversational filler/transition acknowledging a question without conveying any material business content.,substantive,
44594,NKE_Q4-2024,"And of course, this month's Jayson versus Luka NBA Finals matchup marked the first time Jordan signature athletes met on basketball's pinnacle stage.",boilerplate,substantive,Non-business sports commentary.,Describes a specific marketing/brand milestone??Jordan signature athletes (Jayson and Luka) meeting in the NBA Finals??relevant to brand strategy and athlete endorsement performance.,substantive,
24374,FDX_Q4-2025,"Mike brings vast external technology experience, having most recently spent time in the fuel supply and the retail sectors.",boilerplate,substantive,Speaker introduction/background only.,"Describes a specific person's professional background and relevant sector experience, which is material context for a leadership appointment.",substantive,
20043,FAST_Q4-2024,And so it's really a case of being special in all of them.,boilerplate,substantive,Vague filler without clear business content.,"Expresses a strategic view about differentiation across multiple areas, carrying a business implication.",substantive,
55007,WFC_Q4-2023,And the curves are right on top of what that is.,substantive,boilerplate,Refers to curve levels in a business context.,Vague pronoun-only sentence with no identifiable business content or context provided.,substantive,
6167,AVGO_Q4-2025,"And before I get into details of that quarter, let me recap the year.",substantive,boilerplate,Signals a recap of the year's business performance.,Transition sentence that only signals a recap of the year without naming any specific business topic.,boilerplate,
33577,JNJ_Q1-2025,"Last week, the euro spot rate relative to the U.S. dollar was 1.11.",boilerplate,substantive,Just states an exchange rate observation.,Provides a specific FX rate (euro/USD at 1.11) relevant to financial results or guidance.,substantive,
53724,WFC_Q2-2025,"Chris, I mean, look, I'd just come back to what we talked about a little bit earlier in the call.",substantive,boilerplate,Refers back to prior business discussion.,Conversational filler redirecting to earlier discussion without adding new business content.,boilerplate,
7184,BLK_Q1-2025,"Analysts - MD & Head of the North American Asset Managers, Brokers & Exchanges Team So there's a lot to talk about these days, but I wanted to come back to some comments that you made in your annual letter around private markets entering the retail channel.",boilerplate,substantive,Analyst introduction and setup.,"Analyst raises a specific business topic (private markets entering the retail channel) for discussion, making it substantive Q&A content.",substantive,
48380,NVDA_Q4-2025,"Analysts - MD in Equity Research & Senior Semiconductor Analyst Colette, if you wouldn't mind confirming if Q1 is the bottom for gross margins?",boilerplate,substantive,Analyst identification and question.,"Business-related question about whether Q1 is the gross margin bottom, which is material financial content.",substantive,
31579,INTC_Q3-2025,"Dave, I want to follow-up on 2 things that I think I heard you say on 18A.",boilerplate,substantive,Generic follow-up and speaker handoff.,"Analyst follow-up question referencing a specific business topic (18A), which is a substantive Q&A inquiry.",boilerplate,
19421,FAST_Q4-2023,"And Tim is famous for giving you a 20-minute tour, but taking 60 minutes to do it because he loves what he does.",boilerplate,substantive,"Generic praise about a speaker, not business content.",Specific praise characterizing Tim's passion and behavior in a business presentation context ?? reveals attitude about a named individual's contribution.,substantive,
12084,C_Q1-2025,And just remember the nature of our business.,boilerplate,substantive,Generic reminder with no specific business content.,"Directs attention to the nature of the business as context for a business point, functioning as a substantive transition to business-specific content.",substantive,
23688,FDX_Q3-2026,Just a huge shout-out to the operators as they're bringing this volume on.,boilerplate,substantive,Generic praise/thanks to operators.,"Specific praise directed at operators for bringing on significant volume, referencing a concrete operational achievement.",substantive,
12053,C_Q1-2025,And I think I don't think we should lose.,substantive,boilerplate,Expresses a business-related concern about losing.,"Vague, incomplete filler sentence with no discernible business content.",substantive,
