sentence_id,doc_id,sentence_text,vote_count_boilerplate,vote_count_substantive,is_disagreement,judge_label_gpt5_4_mini,judge_label_sonnet4_6,judge_label_qwen3_4b,judge_reason_gpt5_4_mini,judge_reason_sonnet4_6,judge_reason_qwen3_4b,audit_override_label,audit_note,audit_judge_signature
20971,FDX_Q1-2025,And then I know you can't really talk much about the -- beyond the fact that the freight review is ongoing.,1,2,True,substantive,substantive,boilerplate,"Refers to an ongoing freight review, a business matter.","References an ongoing freight review, a specific business/operational matter under discussion.",Generic statement about ongoing process without specific business content,,,97b0d184f0de48d6a9320516c2098834525789a4
18492,FAST_Q3-2024,When you -- when -- I don't believe that the impact of that is going to be a significant in Q4 as we saw in Q3.,1,2,True,substantive,substantive,boilerplate,Gives a view on expected Q4 impact.,"Expresses a forward-looking assessment that a specific impact will be less significant in Q4 than Q3, a material financial/operational claim.",Hedging language without concrete business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
40281,JPM_Q3-2025,"And obviously, it's not going to happen instantaneously.",1,2,True,substantive,boilerplate,substantive,Comments on timing of a business outcome.,Vague filler sentence with no specific business content or referent; does not convey a material claim.,Non-instantaneous impact on business,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
10373,BLK_Q4-2024,"And so you're going to -- over the time, you're going to be benefiting by going out the curve.",1,2,True,substantive,substantive,boilerplate,Describes a business/financial benefit over time.,"Describes a financial benefit from extending duration/curve positioning, a material investment strategy point.",Pronoun-heavy filler without clear business content,,,97b0d184f0de48d6a9320516c2098834525789a4
5088,AVGO_Q2-2025,"Do you think it's these require tokenomics around inference, test time compute driving that, for example.",1,2,True,substantive,substantive,boilerplate,Business question about inference tokenomics and compute.,Business-related question about tokenomics around inference and test-time compute as demand drivers.,Question about technical requirements without clear business context,,,97b0d184f0de48d6a9320516c2098834525789a4
7345,BLK_Q1-2026,I'll be focusing primarily on our as-adjusted results.,1,2,True,boilerplate,substantive,substantive,Introductory framing of results.,"Signals focus on as-adjusted results, previewing the financial reporting basis for the discussion — substantive transition tied to financial metrics.",Focus on adjusted financial results,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
13131,C_Q2-2025,So I guess I'm more asking on the go-forward basis.,2,1,True,boilerplate,boilerplate,substantive,Generic clarification without business content.,Conversational filler clarifying question scope with no business content.,Focus on future business direction,,,97b0d184f0de48d6a9320516c2098834525789a4
41673,JPM_Q4-2025,Analysts - Senior Analyst I just want to ask about loan growth.,1,2,True,boilerplate,substantive,substantive,Analyst introduction and question setup.,Analyst question about loan growth — a specific financial/business topic in Q&A.,Analyst question about loan growth is business-specific,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
43533,NKE_Q3-2024,"Company switched to a men's, women's, kids construct a couple of years ago away from the category offense.",1,2,True,substantive,substantive,boilerplate,Describes a company strategy change in product/category structure.,Describes a specific strategic organizational change the company made (switching to men's/women's/kids construct away from category offense).,Vague description of company's product strategy without concrete business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
54649,WFC_Q4-2023,"The first couple of slides summarize how we helped our customers and communities last year, some of which Charlie highlighted, so I'm going to start with our fourth quarter financial results on Slide 4.",1,2,True,substantive,substantive,boilerplate,Introduces the quarter's financial results.,"Transitions to fourth quarter financial results on a specific slide, naming the business topic being introduced.",Describes slide navigation without business content; mentions 'summarize how we helped' but focuses on process,,,97b0d184f0de48d6a9320516c2098834525789a4
43750,NKE_Q3-2025,I'll start with the Super Bowl in New Orleans.,1,2,True,substantive,substantive,boilerplate,Introduces a specific business-related topic to discuss.,"Introduces a specific business topic (Super Bowl in New Orleans), previewing substantive operational or event-related content.",Event reference without business context,,,97b0d184f0de48d6a9320516c2098834525789a4
15595,C_Q4-2024,"And I think I've taken -- I've gone through kind of the tailwinds and headwinds, so I won't kind of take you through that again.",2,1,True,boilerplate,boilerplate,substantive,Generic statement about not repeating prior points.,Transition/wrap-up sentence indicating the speaker will not repeat prior content; no new business information conveyed.,Acknowledges past business context (tailwinds/headwinds) for strategic discussion,,,97b0d184f0de48d6a9320516c2098834525789a4
16341,FAST_Q1-2024,And is there a takeaway you want us to make sure to have today?,1,2,True,substantive,substantive,boilerplate,Asks for a business takeaway from the call.,"Question asking management to clarify a key takeaway, tied to specific business content being discussed in Q&A context.",Generic question about takeaway without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
1622,AMD_Q3-2024,We will refer primarily to non-GAAP financial measures during today's call.,2,1,True,boilerplate,boilerplate,substantive,Standard financial-measures disclaimer.,Standard disclaimer about use of non-GAAP financial measures during the call.,Specifies non-GAAP financial measures usage,,,97b0d184f0de48d6a9320516c2098834525789a4
40135,JPM_Q3-2024,Forget people going after really hot money because that happens.,1,2,True,substantive,substantive,boilerplate,Comments on market behavior and investor flows.,"Commentary on competitive or market behavior (hot money chasing), reflecting a view on market dynamics.",Generic statement about market behavior without specific business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
